,0,Victim Type
0,BURGLARY FROM VEHICLE,Property
1,BATTERY - SIMPLE ASSAULT,Person
2,OTHER MISCELLANEOUS CRIME,
3,SEXUAL PENETRATION W/FOREIGN OBJECT,Sexual Offences
4,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Property
5,THEFT OF IDENTITY,
6,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Property
7,INTIMATE PARTNER - SIMPLE ASSAULT,Person
8,BURGLARY,Property
9,SHOPLIFTING - PETTY THEFT ($950 & UNDER),Property
10,THROWING OBJECT AT MOVING VEHICLE,Property
11,TRESPASSING,Property
12,DISTURBING THE PEACE,Public
13,VIOLATION OF COURT ORDER,Justice
14,VEHICLE - STOLEN,Property
15,"BUNCO, GRAND THEFT",Property
16,VANDALISM - MISDEAMEANOR ($399 OR UNDER),Property
17,PROWLER,Sexual Offences
18,BIKE - STOLEN,Property
19,"BURGLARY FROM VEHICLE, ATTEMPTED",Property
20,CRIMINAL THREATS - NO WEAPON DISPLAYED,Person
21,THEFT PLAIN - PETTY ($950 & UNDER),Property
22,ATTEMPTED ROBBERY,Property
23,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Person
24,ROBBERY,Person
25,DOCUMENT FORGERY / STOLEN FELONY,Property
26,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",Sexual Offences
27,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Person
28,ARSON,Property
29,"RAPE, FORCIBLE",Sexual Offences
30,THREATENING PHONE CALLS/LETTERS,Person
31,PIMPING,Sexual Offences
32,INTIMATE PARTNER - AGGRAVATED ASSAULT,Sexual Offences
33,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Property
34,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,Sexual Offences
35,RESISTING ARREST,Justice
36,PURSE SNATCHING,Person
37,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),Property
38,BRANDISH WEAPON,
39,THEFT PLAIN - ATTEMPT,Person
40,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),Property
41,"BUNCO, PETTY THEFT",
42,CHILD ANNOYING (17YRS & UNDER),Person
43,"BURGLARY, ATTEMPTED",Property
44,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",
45,BATTERY WITH SEXUAL CONTACT,Person
46,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Person
47,VIOLATION OF RESTRAINING ORDER,Justice
48,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Person
49,FALSE IMPRISONMENT,
50,INDECENT EXPOSURE,Sexual Offences
51,ORAL COPULATION,Sexual Offences
52,OTHER ASSAULT,Person
53,"THEFT, PERSON",Person
54,VEHICLE - ATTEMPT STOLEN,Property
55,BATTERY POLICE (SIMPLE),Person
56,CONTEMPT OF COURT,Justice
57,CRIMINAL HOMICIDE,Person
58,PEEPING TOM,Sexual Offences
59,COUNTERFEIT,Property
60,UNAUTHORIZED COMPUTER ACCESS,Property
61,SHOTS FIRED AT INHABITED DWELLING,
62,STALKING,Sexual Offences
63,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,
64,PANDERING,
65,DOCUMENT WORTHLESS ($200.01 & OVER),Property
66,KIDNAPPING,Person
67,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Person
68,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",
69,DRIVING WITHOUT OWNER CONSENT (DWOC),
70,CHILD PORNOGRAPHY,Sexual Offences
71,KIDNAPPING - GRAND ATTEMPT,Person
72,PICKPOCKET,Person
73,DISCHARGE FIREARMS/SHOTS FIRED,
74,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Person
75,CHILD NEGLECT (SEE 300 W.I.C.),Person
76,VIOLATION OF TEMPORARY RESTRAINING ORDER,Justice
77,CHILD STEALING,Person
78,THEFT FROM PERSON - ATTEMPT,Person
79,CONTRIBUTING,
80,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",Property
81,EXTORTION,Property
82,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",Property
83,BOMB SCARE,
