crm_cd_desc,Invest Cont,UNK,Arrested,Other,Total Crimes,Proportion Arrested,Proportion Unknown,Proportion Continuing,Proportion of Total Crimes
ABORTION/ILLEGAL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0
"THEFT, COIN MACHINE - ATTEMPT",7.0,0.0,0.0,0.0,7.0,0.0,0.0,100.0,0.0
TELEPHONE PROPERTY - DAMAGE,7.0,0.0,0.0,2.0,9.0,0.0,0.0,77.78,0.0
TILL TAP - ATTEMPT,1.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0
DRUNK ROLL,10.0,0.0,0.0,1.0,11.0,0.0,0.0,90.91,0.0
DRUNK ROLL - ATTEMPT,1.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0
TILL TAP - GRAND THEFT ($950.01 & OVER),4.0,0.0,0.0,0.0,4.0,0.0,0.0,100.0,0.0
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",9.0,0.0,0.0,0.0,9.0,0.0,0.0,100.0,0.0
BOAT - STOLEN,33.0,0.0,0.0,0.0,33.0,0.0,0.0,100.0,0.01
TRAIN WRECKING,3.0,0.0,0.0,0.0,3.0,0.0,0.0,100.0,0.0
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",2.0,0.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0
GRAND THEFT / INSURANCE FRAUD,9.0,0.0,0.0,0.0,9.0,0.0,0.0,100.0,0.0
"PICKPOCKET, ATTEMPT",3.0,0.0,0.0,0.0,3.0,0.0,0.0,100.0,0.0
PETTY THEFT - AUTO REPAIR,6.0,0.0,0.0,0.0,6.0,0.0,0.0,100.0,0.0
FAILURE TO DISPERSE,6.0,0.0,0.0,0.0,6.0,0.0,0.0,100.0,0.0
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),1.0,0.0,0.0,2.0,3.0,0.0,0.0,33.33,0.0
PICKPOCKET,174.0,0.0,2.0,0.0,176.0,1.14,0.0,98.86,0.05
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),15774.0,1.0,226.0,196.0,16197.0,1.4,0.01,97.39,4.15
PURSE SNATCHING,221.0,0.0,4.0,7.0,232.0,1.72,0.0,95.26,0.06
BIKE - STOLEN,2578.0,0.0,46.0,31.0,2655.0,1.73,0.0,97.1,0.68
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",51.0,0.0,1.0,2.0,54.0,1.85,0.0,94.44,0.01
THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),5675.0,0.0,109.0,107.0,5891.0,1.85,0.0,96.33,1.51
"BUNCO, ATTEMPT",127.0,0.0,3.0,5.0,135.0,2.22,0.0,94.07,0.03
BURGLARY FROM VEHICLE,28464.0,0.0,747.0,534.0,29745.0,2.51,0.0,95.69,7.63
ARSON,638.0,0.0,22.0,4.0,664.0,3.31,0.0,96.08,0.17
THEFT OF IDENTITY,22604.0,0.0,819.0,176.0,23599.0,3.47,0.0,95.78,6.05
BOMB SCARE,170.0,0.0,7.0,24.0,201.0,3.48,0.0,84.58,0.05
DOCUMENT WORTHLESS ($200.01 & OVER),65.0,0.0,3.0,9.0,77.0,3.9,0.0,84.42,0.02
VANDALISM - MISDEAMEANOR ($399 OR UNDER),14484.0,0.0,654.0,1407.0,16545.0,3.95,0.0,87.54,4.24
"BUNCO, GRAND THEFT",1526.0,0.0,67.0,66.0,1659.0,4.04,0.0,91.98,0.43
"BUNCO, PETTY THEFT",894.0,2.0,41.0,42.0,979.0,4.19,0.2,91.32,0.25
UNAUTHORIZED COMPUTER ACCESS,212.0,0.0,12.0,45.0,269.0,4.46,0.0,78.81,0.07
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2438.0,0.0,186.0,1285.0,3909.0,4.76,0.0,62.37,1.0
THEFT PLAIN - PETTY ($950 & UNDER),25089.0,0.0,1332.0,1184.0,27605.0,4.83,0.0,90.89,7.08
VEHICLE - STOLEN,27495.0,2.0,1452.0,660.0,29609.0,4.9,0.01,92.86,7.59
PROWLER,186.0,0.0,10.0,4.0,200.0,5.0,0.0,93.0,0.05
THEFT PLAIN - ATTEMPT,273.0,0.0,16.0,23.0,312.0,5.13,0.0,87.5,0.08
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",54.0,0.0,3.0,1.0,58.0,5.17,0.0,93.1,0.01
TILL TAP - PETTY ($950 & UNDER),15.0,0.0,1.0,3.0,19.0,5.26,0.0,78.95,0.0
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",12385.0,1.0,756.0,743.0,13885.0,5.44,0.01,89.2,3.56
EXTORTION,360.0,0.0,25.0,66.0,451.0,5.54,0.0,79.82,0.12
DOCUMENT FORGERY / STOLEN FELONY,3669.0,0.0,224.0,107.0,4000.0,5.6,0.0,91.72,1.03
SHOTS FIRED AT INHABITED DWELLING,433.0,0.0,29.0,14.0,476.0,6.09,0.0,90.97,0.12
THEFT FROM MOTOR VEHICLE - ATTEMPT,191.0,0.0,13.0,3.0,207.0,6.28,0.0,92.27,0.05
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",339.0,0.0,28.0,64.0,431.0,6.5,0.0,78.65,0.11
DISTURBING THE PEACE,405.0,0.0,47.0,248.0,700.0,6.71,0.0,57.86,0.18
"THEFT, PERSON",2308.0,0.0,189.0,253.0,2750.0,6.87,0.0,83.93,0.71
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",139.0,0.0,11.0,8.0,158.0,6.96,0.0,87.97,0.04
"VEHICLE - MOTORIZED SCOOTERS, BICYCLES, AND WHEELCHAIRS",12.0,0.0,1.0,0.0,13.0,7.69,0.0,92.31,0.0
ILLEGAL DUMPING,86.0,0.0,8.0,9.0,103.0,7.77,0.0,83.5,0.03
BURGLARY,24004.0,2.0,2137.0,1003.0,27146.0,7.87,0.01,88.43,6.96
OTHER ASSAULT,479.0,0.0,59.0,207.0,745.0,7.92,0.0,64.3,0.19
BATTERY ON A FIREFIGHTER,43.0,0.0,5.0,15.0,63.0,7.94,0.0,68.25,0.02
THREATENING PHONE CALLS/LETTERS,336.0,0.0,48.0,204.0,588.0,8.16,0.0,57.14,0.15
